,session,unit_id,isi_violations,sd_log,r2,bl_len,acg_1,acg_last
15,ecephys_717120_2024-03-06_12-54-27,32,0.03202784815023414,-1.587694886079649,0.2760028965938613,611.88,-0.16853108200385322,-0.014149924145062014
16,ecephys_717120_2024-03-06_12-54-27,43,0.19191452011702803,-1.4835476493362567,0.5017035727769285,611.88,-0.025791092673106256,0.0013559816824909121
17,ecephys_717120_2024-03-06_12-54-27,44,0.025458468526787282,-1.744744468073888,0.5828264348495299,611.88,-0.13393687896166004,0.009361643364988398
18,ecephys_717120_2024-03-06_12-54-27,45,0.021043266570828088,-1.90658721616681,0.0371537756112286,611.88,-0.11687495270084,-0.020704022815751556
19,ecephys_717120_2024-03-06_12-54-27,55,0.059619338255683434,-1.5985742653595447,0.8454826811049838,611.88,-0.08934797091712629,0.009871608698107007
20,ecephys_717120_2024-03-06_12-54-27,62,0.029525797818049156,-1.5906668298879993,0.2394448230986855,611.88,-0.14897904095225892,0.002757775316082318
21,ecephys_717120_2024-03-06_12-54-27,63,0.2397643483899276,-1.7425399854139167,0.1121451387843314,611.88,-0.09046731878424961,-0.0007353309368577785
22,ecephys_717120_2024-03-06_12-54-27,65,0.12540403408861134,-1.5498062256658385,0.3689339351130921,611.88,-0.03212423968878012,0.007016398680061503
23,ecephys_717120_2024-03-06_12-54-27,66,0.01962656595549095,-1.3883087222021948,0.1238210835154732,611.88,-0.12409960949492008,0.01109424585398869
24,ecephys_717120_2024-03-06_12-54-27,151,0.2027268060384426,-1.3523031461538177,0.4393853221800577,611.88,-0.0719327288664664,-0.006582895335658953
25,ecephys_717120_2024-03-07_12-12-02,6,0.07570289683268466,-1.1450868255995656,0.8404401821967399,618.54,-0.11304255206534518,0.006542294031430321
26,ecephys_717120_2024-03-07_12-12-02,36,0.0,-1.3596232559062187,0.7700482908898427,618.54,-0.14476324936649998,0.00457622032757908
27,ecephys_717120_2024-03-07_12-12-02,38,0.03422071243375329,-1.2243295804043093,0.1897717375770802,618.54,-0.13392236995627815,-0.0028094402142192355
28,ecephys_717120_2024-03-07_12-12-02,51,0.04946230684104228,-1.299749246977883,0.9755736821089906,618.54,-0.11185968443577546,0.0005069207406471417
29,ecephys_717120_2024-03-07_12-12-02,55,0.08107809121787954,-1.0498929549187723,0.9314886547550434,618.54,-0.0673988534039673,-0.009067142104271066
30,ecephys_717120_2024-03-07_12-12-02,58,0.0,-1.4340980204744511,0.8083896903856612,618.54,-0.12666369031056732,-0.004489266752702906
31,ecephys_717120_2024-03-07_12-12-02,64,0.13127601762331328,-1.2168379780148388,0.9625843141006876,618.54,-0.07488301379825732,-0.0027243036448823207
32,ecephys_717120_2024-03-07_12-12-02,69,0.15609651754956858,-1.0107958624965427,0.7060168867050128,618.54,-0.05683872004098682,0.009417467823317283
33,ecephys_717120_2024-03-07_12-12-02,115,0.0,-1.3859091047107186,0.8611519210661631,618.54,-0.10451719437218988,0.006078396658199795
34,ecephys_717120_2024-03-07_12-12-02,120,0.02535173540727373,-1.4025967339421115,0.4040821438035077,618.54,-0.10839528089529481,0.008998668748717194
35,ecephys_717120_2024-03-07_12-12-02,128,0.011866879425825183,-1.5112270954545612,0.2186027396947832,618.54,-0.18211826362111244,-0.0028186873823208797
36,ecephys_717120_2024-03-07_12-12-02,129,0.2890384769377522,-1.4344371790367645,0.9792051203217884,618.54,-0.14737630325931272,-0.0006992280173471858
37,ecephys_713854_2024-03-08_15-43-01,3,0.0,-0.9955811694274357,0.9675045599823704,494.58,-0.0781878377361504,-0.0058022328692616055
38,ecephys_713854_2024-03-08_15-43-01,4,0.17988963999373678,-0.8221498733970545,0.9366628316353054,494.58,0.06353675258968512,-0.0031969482983894245
39,ecephys_713854_2024-03-08_15-43-01,5,0.3507204512599925,-1.076427987369609,0.8270889713439328,13.65,-0.09685921370524968,0.09597803259381255
40,ecephys_713854_2024-03-08_15-43-01,10,0.0,-0.6737623118345594,0.9689504908255298,494.58,-0.07390970306288405,0.013202576878022716
41,ecephys_713854_2024-03-08_15-43-01,13,0.0,-0.9680961505704004,0.9191071478989308,494.58,-0.07816999619197401,0.00784702540711694
42,ecephys_713854_2024-03-08_15-43-01,14,0.13398533050920303,-0.78764520759269,0.8881265748706605,494.58,-0.07392420774904541,0.009639212991141611
43,ecephys_713854_2024-03-08_15-43-01,20,0.06105178197215704,-0.8758000270931222,0.9533478275879046,494.58,-0.035256452190108624,-0.007187673117262383
44,ecephys_713854_2024-03-08_15-43-01,24,0.0,-0.8385896758559279,0.96063576309823,494.58,-0.079815733781879,0.01997810228298857
45,ecephys_713854_2024-03-08_15-43-01,126,0.026944424152442553,-0.8717280521175914,0.8772993696826311,494.58,-0.06803838909960343,-0.0012068487264792634
46,ecephys_713854_2024-03-08_15-43-01,173,0.14623284486497728,-0.6789518859591815,0.9625610201251136,494.58,-0.01841577229917982,0.03328073465797635
47,ecephys_684930_2023-09-27_10-04-04,26.0,0.0342649701542123,-1.087875430150292,0.0111756522273163,911.76,0.011347444406910802,0.0006632886708816113
48,ecephys_684930_2023-09-27_10-04-04,27.0,0.4078598859944421,-0.984146575517691,0.1459232024421939,911.76,0.06402024343347132,0.007851712084121268
49,ecephys_684930_2023-09-27_10-04-04,34.0,0.3495180549344746,-0.9621969381557606,0.1533008995472181,911.76,0.12272470850344261,0.003484002383332158
50,ecephys_684930_2023-09-27_10-04-04,36.0,0.0505400439640655,-0.9693787752114154,0.7750795738396203,911.76,0.0067359206067676165,0.006750035220678513
51,ecephys_684930_2023-09-27_10-04-04,59.0,0.3358037311628968,-1.6154474620361077,0.297578803213392,289.02,0.05025012224019226,0.00027713382605471773
52,ecephys_684930_2023-09-27_10-04-04,68.0,0.1134703259953381,-1.053005622838337,0.2231653897757396,911.76,-0.030257245806389742,0.004359162044273845
53,ecephys_684930_2023-09-27_10-04-04,78.0,0.2610126403846939,-1.3636136039678814,0.6684899801768189,911.76,0.02465206885089291,0.0028485131237939985
54,ecephys_684930_2023-09-27_10-04-04,83.0,0.183169331848265,-1.3879889290509002,0.7004034743487728,911.76,-0.0022198420473970248,0.0021178929095888505
55,ecephys_684930_2023-09-27_10-04-04,86.0,0.0556930371487521,-1.1169201176699708,0.0485982984108416,911.76,-0.06781862181200292,0.0050456086588425925
56,ecephys_684930_2023-09-27_10-04-04,92.0,0.2038047701022172,-1.2919215121208503,0.3758104988255217,911.76,-0.006864849052502587,-0.006366245135449339
57,ecephys_684930_2023-09-27_10-04-04,93.0,0.0906961106205877,-1.2319002613415329,0.2394448504945375,911.76,-0.033597410352862164,0.018044761960171074
58,ecephys_684930_2023-09-27_10-04-04,95.0,0.0218411340913597,-0.8830706671019142,0.9069247280151578,911.76,-0.016472724685113717,0.01597579295941137
59,ecephys_684930_2023-09-27_10-04-04,108.0,0.3250569165084043,-0.9988644489215609,0.5189104613274516,911.76,0.013328832235737215,-0.0031012252567193988
60,ecephys_684930_2023-09-27_10-04-04,110.0,0.0405449288974733,-1.0074758201722416,0.2008465527566996,911.76,-0.06365187383894663,0.009775178709483967
61,ecephys_684930_2023-09-27_10-04-04,127.0,0.2000079677812774,-1.4163703956007452,0.3730221765861432,911.76,-0.02459556433189492,-0.0017935474372332166
62,ecephys_684930_2023-09-27_10-04-04,146.0,0.0,-0.9568422156047013,0.458222269429028,911.76,-0.06558002082266945,-0.004640738417049196
63,ecephys_684930_2023-09-27_10-04-04,167.0,0.0,-1.2685670149431547,0.556350821160966,911.76,0.011290928534651256,-0.0007733152203760345
64,ecephys_684930_2023-09-27_10-04-04,303.0,0.2586513557667403,-0.9472190399715329,0.1920945708580492,911.76,0.01691064343850616,-0.0032946154548821613
65,ecephys_684930_2023-09-27_10-04-04,304.0,0.0591373501207825,-1.293535176375314,0.0820695040309198,911.76,-0.029138782950751035,0.006424383539335243
