session_id,raw_data,old_id
behavior_701707_2023-12-22_15-14-39,7d04dc75-d419-4bd9-aaeb-3f8aa358463e,m701707d20231222
behavior_701707_2024-01-03_16-52-16,7152dc99-6e4b-45a5-bab6-1008d19fa6cf,m701707d20240103
behavior_701707_2024-01-04_16-39-43,0b1f32ce-8e37-43df-84b4-c83bfd95ee9c,m701707d20240104
behavior_701707_2024-01-05_14-41-22,e21527a7-b538-4e99-aef7-8ccf2e826205,m701707d20240105
behavior_701707_2024-01-06_16-29-23,cb10e328-0867-48c1-a1b5-889f7f67204d,m701707d20240106
behavior_701707_2024-01-12_14-53-55,8cdf2215-41ca-4f3f-baf1-673cd1ece87e,m701707d20240112
behavior_701707_2024-01-13_18-07-21,191baddd-6d6e-4c92-9540-56b3f8757cf1,m701707d20240113
behavior_701707_2024-01-14_18-00-04,576810c5-cbca-421b-9445-14048c970b03,m701707d20240114
behavior_701707_2024-01-17_15-22-21,fb7ea6cb-387a-40f3-84d7-78b7aa4428f8,m701707d20240117
behavior_749472_2024-12-28_18-37-02,62fb2f93-aeae-4e03-8807-bc7b1633cca3,m749472d20241228
behavior_749472_2024-12-30_14-44-06,3e0bf4ea-fa51-4c6b-bebc-3d0aee4d5647,m749472d20241230
behavior_749472_2024-12-31_18-19-20,4e20b6ca-cbac-4fdb-bbf5-cf3e06642059,m749472d20241231
behavior_749472_2025-01-01_16-22-33,b03954d4-2a73-41e0-a37b-f68b926f8729,m749472d20250101
behavior_749472_2025-01-03_15-11-09,75ec0136-e331-400c-a514-8244e2439ecd,m749472d20250103
behavior_749472_2025-01-04_14-13-30,85823ea1-2c4e-4f9e-8951-b690209c537a,m749472d20250104
behavior_749472_2025-01-06_13-14-52,2f2b7103-c63e-4123-9d79-5add15c5e6aa,m749472d20250106
behavior_749472_2025-01-08_13-43-07,14308b31-227b-442a-8cb6-0d7babf9a2e6,m749472d20250108
behavior_749472_2025-01-09_13-56-02,1c87a499-3442-41a3-bda4-854c177340be,m749472d20250109
behavior_749624_2025-01-02_13-30-36,3ae00200-9ab2-483f-89d6-11a6423f468f,m749624d20250102
behavior_749624_2025-01-03_13-20-28,18a3f904-1203-4bc0-b3d4-b71c3ae08b70,m749624d20250103
behavior_749624_2025-01-04_12-44-49,ea68cf2e-8f04-4e19-a52d-9e0155772aae,m749624d20250104
behavior_749624_2025-01-07_11-08-11,1167257d-e3a4-4c7b-b81e-5e0f645350c5,m749624d20250107
